Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
LINC02241,-0.1,-0.1,,0.2
LINC02172,0.2,0.2,0.2,-0.1
LINC02754,-0.6,0.6,-0.7,-0.2
RNU6-322P,-0.1,,-0.1,0.2
SNORD27,-0.3,-0.2,-0.3,-0.3
RNU6-1016P,0.3,0.1,0.3,0.5
RNU6-703P,-0.3,-0.2,-0.1,
RNU6-64P,,-0.2,-0.2,
ENSG00000253123,0.3,0.2,0.2,0.6
LINC00967,-0.5,-0.3,-0.3,-0.2
ENSG00000253139,0.3,0.1,0.3,0.3
ENSG00000253163,-0.1,-0.2,-0.1,-0.1
ENSG00000253165,0.2,0.3,0.3,0.2
ENSG00000253181,,0.3,-0.1,
HOXA10-AS,-0.3,-0.3,-0.1,0.3
LINC02153,-0.3,-0.2,-0.2,-0.2
ENSG00000253200,0.6,0.1,,0.3
ENSG00000253205,0.3,0.3,0.3,
MIR124-1HG,-2.3,-3.2,-2.5,-0.5
C8orf88,0.6,1.2,0.9,0.8
SHLD3,0.4,0.1,0.7,1.0
DLGAP2-AS1,,-0.2,-0.1,
CCDC71L,1.4,1.1,1.3,1.4
LINC02209,0.1,0.1,0.2,0.1
HOXA10,0.1,-0.1,0.8,1.5
ENSG00000253297,,-0.1,,-0.2
LINC01845,0.2,,0.1,0.1
STAU2-AS1,0.3,0.2,0.1,
TMEM200B,-0.4,0.2,-0.1,1.0
PCDHGB6,0.2,0.3,0.1,0.3
ENSG00000253308,-0.5,-0.3,-0.4,-0.3
LINC01847,0.2,0.1,0.2,0.1
C1orf210,,-0.1,,-0.1
LINC00293,0.3,0.1,0.3,0.1
MAILR,0.1,0.7,-0.1,
RAD21-AS1,-0.2,-0.1,-0.1,-0.2
TUG1,0.4,0.4,0.4,1.0
TRNP1,-0.9,-2.1,-1.7,-1.9
ENSG00000253392,-0.4,-0.3,-0.3,-0.1
IKBKB-DT,,-0.1,-0.1,-0.3
LINC02237,-0.2,-0.2,-0.2,-0.2
PCAT1,-0.3,-0.2,-0.3,-0.2
IGHV3-25,-0.1,-0.1,,-0.1
ENSG00000253447,-0.3,-0.3,-0.3,-0.2
LINC02099,-0.3,-0.2,-0.3,-0.3
NACA2,-0.1,-0.1,,
ENSG00000253510,-0.2,-0.1,-0.1,
ENSG00000253519,-0.1,-0.2,-0.1,-0.3
ENSG00000253520,0.2,-0.3,-0.1,-0.3
HPYR1,,,-0.1,-0.1
MIR3142HG,-0.3,-0.4,-0.4,-0.3
HOXA-AS2,-0.4,-0.1,-0.4,-0.3
ENSG00000253553,-0.4,-0.5,-0.5,-0.6
ENSG00000253557,,-0.1,,
NKX2-1-AS1,-0.3,-0.2,-0.2,-0.3
LINC01300,-0.2,-0.3,-0.2,-0.2
ENSG00000253608,0.5,0.4,0.4,0.3
ENSG00000253614,-0.2,-0.1,-0.1,
ENSG00000253643,,-0.1,,
ENSG00000253656,0.1,0.2,0.1,
LINC01592,0.1,0.2,0.2,0.2
ZFHX4-AS1,0.4,0.3,0.8,0.1
LINC02844,-0.1,-0.1,-0.1,-0.1
ENSG00000253695,0.1,0.2,0.1,0.1
MINCR,0.2,0.4,0.8,0.7
ATXN7L3B,-0.6,-0.2,-0.7,-0.2
PRKDC,0.7,0.7,1.1,1.2
LINC01289,-0.2,-0.3,-0.2,-0.2
ENSG00000253736,-0.3,-0.2,-0.3,-0.3
OTUD6B-AS1,-0.9,-0.4,-0.7,-1.0
LNCOC1,-0.3,-0.4,-0.3,-0.4
ENSG00000253744,-0.6,-0.5,-0.5,-0.4
ENSG00000253766,,-0.2,-0.1,
PCDHGA8,,0.1,0.3,0.5
TPTE2P1,-0.2,-0.3,-0.6,-0.7
ENSG00000253792,,0.1,0.1,0.2
ENSG00000253837,0.2,0.1,0.2,
PCDHGA10,0.2,,0.1,0.3
ENSG00000253871,-0.4,-0.4,-0.4,-0.3
PCDHGA11,-0.4,-0.2,-0.2,-0.1
ENSG00000253887,,-0.1,,
ENSG00000253894,0.1,,,
LINC01419,,0.1,0.3,1.8
ENSG00000253932,,0.1,0.1,
VPS13B-DT,-0.5,0.3,-0.4,-0.7
ENSG00000253955,0.2,0.1,0.3,0.1
CLDN23,0.1,,0.6,-0.3
LINC01863,-0.2,-0.2,-0.2,-0.2
ENSG00000253967,-0.1,-0.1,-0.2,-0.1
NRG1-IT1,0.1,-0.1,,
ENSG00000253982,-0.3,,-0.1,-0.9
ZNF260,0.8,0.5,0.7,1.1
LINC00051,,-0.1,,
ENSG00000254027,0.3,0.1,0.2,-0.1
ENSG00000254067,,0.1,,
LYN,0.8,0.6,0.7,-0.5
PINX1,-0.5,-0.7,-0.4,-0.4
ENSG00000254102,-0.3,-0.2,-0.3,0.8
RBPMS-AS1,,0.1,-0.1,-0.2
LINC02842,,0.1,0.2,0.2
PCDHGB7,0.5,0.5,0.2,0.4
ENSG00000254129,0.1,0.1,0.2,0.1
ENSG00000254139,0.3,,0.7,0.1
ENSG00000254141,0.4,0.1,-0.1,0.9
ENSG00000254143,0.2,0.1,0.2,0.1
ENSG00000254187,-1.3,-1.3,-1.1,-1.2
ENSG00000254208,-0.3,-0.3,-0.2,
LINC01933,0.2,,0.1,
ENSG00000254231,0.4,0.1,0.1,-0.1
PKIA-AS1,,0.1,0.1,
LINC00824,0.5,0.3,0.4,0.2
ENSG00000254278,0.3,0.5,0.3,0.2
ENSG00000254288,0.2,-0.1,0.2,-0.1
ENSG00000254290,-0.3,-0.2,-0.3,-0.3
LINC01111,0.4,0.4,0.5,0.3
ENSG00000254303,0.1,,-0.1,0.1
ENSG00000254334,0.2,,0.1,
ENSG00000254363,0.1,0.3,0.1,
HOXA-AS3,-0.1,-0.1,-0.1,-0.1
SOX5P1,0.2,0.2,0.2,
MIR124-2HG,-3.2,-3.5,-2.8,-1.2
RHPN1-AS1,0.4,0.7,0.4,0.3
OR4A1P,0.3,0.2,0.4,0.2
LINC02683,0.2,0.2,0.2,0.1
PBOV1,,-0.1,-0.1,-0.1
ENSG00000254443,-0.3,-0.4,-0.2,-0.2
CAPS2-AS1,0.4,0.3,0.3,0.1
NAV2-AS2,,0.2,0.3,0.2
ENSG00000254469,-0.1,-0.2,0.3,0.3
AP5B1,-0.2,,-0.3,-0.1
LINC02749,0.4,0.5,0.4,0.3
ENSG00000254488,0.7,0.4,0.6,0.2
ENSG00000254506,,,0.1,-0.1
ENSG00000254519,-0.2,-0.1,-0.2,-0.1
ENSG00000254528,-0.1,-0.2,-0.2,-0.2
FLJ20021,-0.9,-0.9,-1.0,-0.6
ENSG00000254533,,0.1,-0.1,0.3
PABPC4L,0.9,2.4,1.4,2.2
OMP,-0.3,-0.3,-0.3,-0.3
ENSG00000254556,,-0.2,0.2,
BBOX1-AS1,-0.1,,,0.1
OR4C1P,0.2,0.1,0.2,0.2
ENSG00000254584,,,,0.1
MAGEL2,-0.3,-1.0,-0.6,-0.2
ENSG00000254587,0.4,0.3,0.2,0.3
ETS1-AS1,0.1,,,
ENSG00000254602,0.3,0.2,0.2,0.5
NAV2-AS4,0.6,0.6,0.5,0.5
WAC-AS1,,-0.1,,0.6
INS,-0.4,-0.3,-0.4,-0.4
ENSG00000254651,,-0.1,,
LINC02685,,-0.1,,
FPGT,1.2,1.4,1.3,0.9
SENCR,0.4,0.1,0.2,0.1
ENSG00000254718,-0.3,-0.3,-0.2,-0.2
MEX3A,0.8,1.7,1.7,3.7
ENSG00000254811,0.1,0.1,0.2,
ENSG00000254813,,,,0.1
LMNTD2-AS1,-0.4,-0.1,-0.5,-0.4
ENSG00000254821,,-0.1,-0.1,
LINC02727,0.2,0.2,0.1,
SLC22A18AS,,-0.2,0.1,-0.2
RNF185-AS1,0.2,0.1,0.1,0.1
ENSG00000254837,-0.2,0.1,-0.3,0.2
GVINP1,0.2,,0.1,
ENSG00000254839,-0.1,-0.2,-0.2,-0.1
LINC02551,,,0.1,
MPV17L2,-0.2,-0.2,-0.3,-0.6
ENSG00000254861,,-0.1,,
LINC02688,-0.5,0.1,-0.5,-0.2
ENSG00000254887,,-0.2,-0.2,-0.3
BORCS8,1.1,1.4,0.9,-0.1
ENSG00000254906,-0.7,-0.7,-0.6,-0.5
ENSG00000254936,-0.5,-0.5,-0.3,-0.3
KIRREL3-AS2,,,0.1,0.1
LINC02763,,-0.1,-0.1,-0.2
ENSG00000254980,0.1,0.1,0.2,
DPP3,0.4,0.3,0.5,0.2
KRTAP5-9,0.1,0.1,0.1,0.1
BRK1,0.3,0.1,0.3,
ENSG00000255020,0.3,0.5,0.1,-0.6
ENSG00000255026,-0.6,-0.6,-0.6,-0.5
SEPTIN7P11,-0.2,-0.3,-0.3,-0.2
NAV2-AS5,0.2,0.1,0.1,0.1
ENSG00000255050,-0.5,-0.4,-0.5,-0.4
ENSG00000255084,,-0.1,,-0.1
ENSG00000255087,-0.4,-0.5,-0.5,-0.5
ENSG00000255100,,0.1,0.3,0.2
CHMP1B,-0.1,0.1,-0.1,0.3
LINC02546,,-0.2,-0.1,
OVOL1-AS1,-0.1,-0.2,-0.1,-0.3
ENSG00000255135,-0.8,0.6,0.2,0.3
ENSG00000255142,-0.5,-0.2,-0.4,-0.3
STX17-AS1,0.4,0.4,0.2,-0.1
EID3,-0.1,0.5,,-0.3
TOLLIP-AS1,-0.1,0.2,,-0.2
ENSG00000255179,-0.1,-0.1,,0.1
OR7E2P,,,0.1,
ENSG00000255207,,0.2,0.2,0.3
ENSG00000255240,0.3,0.2,0.2,0.1
MIR100HG,0.9,0.6,0.8,-0.3
LINC02743,-0.3,-0.2,-0.2,-0.2
NAV2-IT1,0.2,0.1,0.2,0.2
ENSG00000255271,0.2,0.1,0.1,0.2
ENSG00000255272,-0.1,-0.1,,-0.1
EID1,0.4,0.3,,0.1
ENSG00000255310,0.6,0.2,0.6,0.7
ENSG00000255314,0.2,0.1,0.2,-0.1
ENSG00000255337,-0.6,0.4,-0.3,-0.5
ENSG00000255345,,-0.1,-0.1,-0.2
NOX5,-0.3,-0.2,-0.2,-0.3
ENSG00000255384,,-0.1,-0.1,
ENSG00000255389,0.1,-0.2,-0.5,
TBX5-AS1,,0.2,0.2,0.4
PCDHA3,-0.1,-0.3,-0.3,0.1
ENSG00000255410,0.1,-0.1,0.1,
LINC02718,-0.3,-0.3,-0.2,-0.1
CASC23,0.4,0.4,0.4,0.2
EBLN2,-0.2,-0.2,,0.4
ENSG00000255428,,0.2,0.2,0.2
CD44-AS1,-0.3,-0.2,-0.2,-0.2
ENSG00000255458,,0.6,0.2,0.4
ENSG00000255471,-0.3,-0.3,-0.3,-0.4
GAU1,0.6,0.7,0.5,0.4
ENSG00000255477,0.1,,0.2,0.1
ENSG00000255495,-0.2,0.4,-0.6,-0.1
ENSG00000255496,,-0.1,-0.1,
CARD18,0.2,0.2,0.1,0.1
UVRAG-DT,0.3,0.6,0.4,0.1
ENSG00000255517,0.1,0.3,0.2,0.3
ENSG00000255537,-0.1,-0.2,-0.2,-0.4
B3GAT1-DT,0.1,-0.1,0.1,0.1
LY6G6E,0.2,0.1,0.1,0.2
ZNF252P-AS1,0.1,,0.1,0.2
FDXACB1,0.9,0.8,1.0,0.7
BRWD1-AS2,0.1,0.4,0.2,0.3
MIR9-3HG,0.2,-1.6,-0.5,-0.7
ENSG00000255595,,-0.1,-0.1,-0.2
PCDHB17P,,-0.2,0.2,0.1
ENSG00000255647,0.3,0.3,0.2,0.2
ENSG00000255649,,-0.1,-0.1,
FAM222A-AS1,-0.2,-0.1,-0.1,-0.1
TRIL,0.1,0.5,-0.5,-1.8
OR4D2,0.2,,0.2,-0.2
AGAP2-AS1,1.1,0.8,1.6,1.0
KRT8P11,-0.8,-0.6,-0.6,-0.4
TIFAB,-0.4,-0.3,-0.3,-0.3
ENSG00000255847,0.2,,0.2,0.1
ENSG00000255856,-0.4,-0.5,-0.2,0.2
PXN-AS1,0.1,0.3,0.4,0.9
ENSG00000255933,0.3,0.2,0.1,0.1
ENSG00000255965,,-0.1,-0.1,
LINC02421,-0.3,-0.3,-0.3,-0.3
CYP2A6,0.3,,0.1,0.1
ENSG00000256020,0.3,0.1,0.2,0.1
CTSO,2.2,1.3,1.0,-0.3
COA8,-0.2,-0.2,0.1,0.3
DNAAF4,1.3,3.4,1.7,1.5
URB1-AS1,0.1,0.6,0.5,0.1
ZNF432,0.5,1.0,0.6,0.7
SBNO1-AS1,-0.8,-0.8,-0.9,-0.8
LINC02443,0.3,0.1,0.2,
ENSG00000256116,,-0.1,,0.1
LINC00944,0.1,0.1,0.3,
ENSG00000256146,0.2,,0.1,0.1
LINC00507,-3.4,-3.3,-3.2,-3.3
ENSG00000256195,0.2,0.1,0.2,0.2
ZNF10,0.2,0.2,,0.7
ZNF486,,0.2,0.2,0.3
LINC02387,,-0.3,-0.1,-0.1
ENSG00000256234,0.2,0.3,0.7,0.2
SMIM3,1.9,0.7,1.3,-0.5
USP30-AS1,-0.1,,,-0.2
HMBS,0.8,0.8,1.0,0.6
TAS2R64P,,,,0.3
ZNF225,0.9,0.7,0.8,0.8
ENSG00000256315,-0.1,-0.2,-0.1,-0.1
ABCC6P1,0.8,0.5,0.3,
LINC02375,,-0.1,,
ASIC5,,,0.1,0.2
SALL3,0.8,-0.7,1.9,-1.4
LINC02825,,-0.2,-0.2,-0.2
MRGPRF-AS1,0.4,0.3,0.4,0.3
POLG2,0.3,0.3,0.7,1.2
SMIM10L1,-0.5,-0.7,-0.2,-0.7
ENSG00000256546,0.1,0.3,0.4,0.3
LINC02361,-0.6,-0.4,-0.5,-0.4
SLC6A12-AS1,-0.2,-0.3,-0.2,-0.2
TRDV3,-0.3,-0.2,-0.2,-0.1
ENSG00000256594,0.1,0.1,0.3,0.2
CYP2B7P,-0.1,-0.3,-0.2,-0.2
ZBTB11-AS1,,,0.2,
ENSG00000256654,-0.2,-0.6,-0.4,-0.4
CLEC12B,0.4,0.2,0.2,0.1
KLRA1P,0.1,0.4,0.5,1.0
ZNF350,0.4,0.3,0.2,0.6
TMEM132D-AS2,0.1,0.1,0.1,
MADD-AS1,-0.3,-0.2,-0.3,-0.2
STH,-0.9,-0.8,-0.8,-0.5
ZNF253,0.9,0.8,1.0,2.0
ENSG00000256802,0.4,0.3,0.2,
C17orf100,0.6,0.2,0.3,0.1
CAPNS2,0.5,0.2,0.4,0.3
PARP11-AS1,,-0.2,-0.1,-0.1
SLC5A8,-0.2,-0.1,-0.2,0.1
LINC02366,0.1,,,0.1
ENSG00000256967,-0.2,-0.3,-0.2,-0.5
ENSG00000256969,-0.5,-0.4,-0.5,-0.3
ENSG00000256995,-0.3,-0.2,-0.2,-0.1
HP,,0.5,,-0.8
ENSG00000257027,1.1,0.9,1.2,1.2
LINC02282,0.2,0.2,0.6,0.7
C11orf97,-0.8,1.0,-0.6,-0.6
DENND11,-0.3,-0.1,0.1,
CLIP1-AS1,-0.4,-0.3,-0.3,-0.4
LSM14A,0.6,1.1,0.9,1.0
NHLRC4,0.2,0.4,0.1,
LINC02450,,0.1,0.1,
RRN3P3,-1.5,-1.5,-1.1,-1.1
ENSG00000257129,,-0.2,,
ODC1-DT,-0.1,-0.1,-0.1,-0.1
LINC02874,0.1,,0.1,
TAS2R38,0.4,0.5,0.4,0.3
TMPO-AS1,0.2,0.7,1.0,1.3
ENSG00000257176,0.9,0.4,0.4,0.2
ENSG00000257178,-0.1,0.1,-0.3,-0.2
ENSG00000257194,-0.4,-0.6,-0.6,-0.4
GATC,-0.5,-0.6,-0.4,-0.1
ENSG00000257228,,-0.2,-0.2,-0.2
LINC01619,,,0.2,0.6
PHBP19,-0.2,-0.4,,0.1
LINC02388,-0.2,-0.1,-0.2,-0.5
ENSG00000257261,0.2,0.2,,
ZNF271P,0.5,0.1,0.1,0.4
ENSG00000257327,0.3,0.3,0.2,0.3
RACGAP1P1,,0.1,0.2,0.4
MGAM,0.1,-0.2,0.4,
ENSG00000257337,-0.4,-0.4,-0.3,-0.2
ENSG00000257354,0.2,0.8,0.8,1.2
ENSG00000257407,,-0.2,,-0.1
ENSG00000257433,0.1,0.2,,-0.1
PAFAH1B2P2,,-0.1,-0.1,
LINC02402,,,,-0.1
ENSG00000257512,,-0.1,-0.2,
ENSG00000257550,,-0.1,-0.1,
ENSG00000257568,,-0.1,,
ZNF625,,0.2,0.2,0.6
OVCH1-AS1,0.1,-0.1,0.1,
MIR4307HG,-0.1,-0.3,-0.1,-0.1
PSMA3-AS1,0.5,0.8,0.6,1.4
G2E3-AS1,-0.1,-0.1,,
ADCY6-DT,0.3,1.0,0.5,0.8
KRT7-AS,0.3,0.2,0.3,0.1
GIHCG,-0.4,1.3,0.7,0.1
LBX2-AS1,0.5,0.1,0.6,
INAFM1,0.2,-0.3,0.3,-0.3
ENSG00000257711,-0.5,-0.6,-0.4,-0.2
CPNE8-AS1,-0.2,-0.6,-0.4,-0.6
ENSG00000257726,,-0.1,,
CNPY2,0.5,-0.4,-0.1,-0.4
LINC01490,0.3,0.1,0.2,
MGAM2,,-0.2,-0.1,
LINC02426,,,0.1,
LINC02401,0.1,-0.1,0.1,
LINC02395,-0.3,-0.3,-0.3,-0.2
LINC02400,,-0.1,-0.1,-0.2
ENSG00000257823,-0.3,-0.4,-0.5,-0.4
ENSG00000257839,0.6,0.3,0.6,0.5
CASC18,-0.5,-0.3,-0.3,-0.2
ENSG00000257894,0.3,0.1,0.1,0.1
CUX1,-0.5,-0.5,-0.6,0.1
ENSG00000257925,0.2,0.2,0.2,0.1
ENSG00000257943,,-0.1,-0.1,
ENSG00000257955,-0.3,-0.2,-0.2,-0.1
TEX49,-0.1,-0.1,,-0.1
ENSG00000258039,0.1,0.2,0.3,0.2
ENSG00000258053,-0.1,-0.2,-0.2,-0.3
ENSG00000258056,-0.1,0.2,-0.1,-0.2
BCDIN3D-AS1,,0.1,-0.1,-0.1
ENSG00000258066,,0.1,,
ENSG00000258096,,0.1,,
ENSG00000258119,-0.1,-0.1,-0.1,-0.2
ENSG00000258122,-0.3,-0.2,-0.3,-0.4
ENSG00000258136,0.4,0.4,0.4,0.5
ENSG00000258168,0.1,0.1,0.1,0.1
LINC00485,,-0.2,-0.1,
PRSS58,-0.3,-0.5,-0.2,-0.5
CLEC5A,1.9,1.9,2.0,
ENSG00000258274,0.1,0.3,0.3,0.1
LINC00592,-1.0,-1.0,-0.7,-1.0
CHURC1,0.8,1.3,0.5,0.1
VASH1-AS1,-0.2,-0.5,-0.5,-0.4
KLF17P1,-0.4,-0.4,-0.4,-0.1
ENSG00000258343,-0.5,-0.2,-0.4,-0.3
ENSG00000258376,-0.1,,-0.1,-0.2
ENSG00000258424,0.2,0.3,0.1,0.2
LINC00641,-0.4,-0.3,-0.4,
ENSG00000258457,,0.7,0.3,0.2
ENSG00000258458,-0.2,-0.1,,0.2
ENSG00000258471,-0.5,-0.4,-0.4,-0.1
SPESP1,-0.7,-0.8,-0.9,-0.5
DIO3OS,-0.4,0.6,-0.3,-0.3
LINC02287,0.1,,0.1,0.1
ENSG00000258517,0.1,,,-0.1
ENSG00000258525,0.1,,,
LINC00645,-0.1,,1.1,0.3
CRAT37,,-0.1,-0.1,
ENSG00000258573,0.2,0.1,0.2,0.2
LINC01500,,-0.1,-0.2,
FAM181A-AS1,-0.2,,-0.2,-0.2
LINC02274,,0.4,0.2,
NBEAP1,,,0.1,
ENSG00000258593,0.2,-0.1,0.1,0.2
SERPINA2,,0.1,0.1,
LINC02303,-0.3,-0.3,-0.3,-0.2
ENSG00000258634,0.2,0.3,0.4,1.2
ENSG00000258636,-0.2,-0.2,-0.5,-0.3
ENSG00000258642,-0.3,-0.2,-0.3,-0.3
LINC00930,,,0.1,0.2
ARHGAP5-AS1,-0.3,0.3,-0.3,-0.2
ENSG00000258676,0.3,0.2,0.3,0.1
LINC00638,0.1,0.3,0.2,
ENSG00000258702,-1.7,-1.7,-1.6,-1.9
SLC25A21-AS1,0.4,0.8,0.1,0.5
ENSG00000258716,,-0.1,,-0.1
ENSG00000258727,0.1,0.6,0.4,0.4
ITPK1-AS1,0.1,0.2,0.1,0.1
LINC02833,0.4,0.3,0.4,0.1
ENSG00000258752,0.1,3.1,0.2,
LINC01579,0.1,0.1,0.2,0.2
DIO2-AS1,0.1,0.1,0.2,
ENSG00000258776,,0.1,,0.3
LINC01568,-0.1,-0.2,-0.1,-0.2
LINC01580,,-0.1,,
ENSG00000258789,-0.2,,-0.3,-0.2
LINC00520,0.9,1.2,1.0,0.5
ENSG00000258803,0.1,0.1,0.1,
LINC01148,0.3,0.5,0.4,0.3
MC1R,0.1,-0.4,0.1,
ENSG00000258850,0.1,,,
CEP95,,0.6,0.7,1.6
FOXN3-AS1,0.1,0.4,0.1,
ENSG00000258944,-0.1,,,0.2
ENSG00000258959,0.2,0.2,0.1,-0.1
LINC01467,,-0.1,-0.1,-0.2
ENSG00000259065,0.2,0.9,0.5,0.2
LINC00639,0.3,-0.1,0.1,-0.2
FOXN3-AS2,0.1,0.2,0.2,0.1
LINC02314,0.2,0.1,0.2,
TRAV30,,,0.1,
LINC00911,0.2,0.1,0.1,
ENSG00000259116,0.2,0.5,0.2,0.1
SMIM6,-0.4,0.1,-0.2,-0.4
LINC00648,2.2,0.8,1.2,1.1
LINC00924,0.9,0.3,0.5,0.5
ENSG00000259149,,,-0.1,-0.1
LINC00929,0.1,0.2,0.2,0.1
ENSG00000259163,,0.1,-0.1,
ENSG00000259175,0.2,0.3,0.3,0.3
ENSG00000259188,,-0.1,,
ITGB3,0.4,0.3,0.4,0.3
ENSG00000259213,-0.3,-0.2,-0.3,-0.2
LINC00928,0.3,0.1,0.2,
LINC02345,,0.2,,-0.1
LINC02853,0.1,,0.1,0.1
USP3-AS1,-0.4,-0.1,-0.1,0.3
ENSG00000259251,0.4,1.1,0.4,0.1
LINC02622,-0.3,-0.1,-0.2,-0.1
ENSG00000259275,0.9,0.9,1.0,0.6
LINGO1-AS2,,-0.1,,-0.1
LINC02349,0.6,0.8,0.6,0.3
ZNF710-AS1,-0.6,-0.2,-1.2,-0.8
LIPC-AS1,,-0.1,-0.1,
ACTG1P17,0.4,0.5,0.5,0.5
ENSG00000259326,-0.2,-0.1,-0.2,0.1
INAFM2,0.5,,-0.2,-0.5
TMC3-AS1,-0.3,-0.4,-0.3,-0.1
ENSG00000259345,0.2,0.1,0.1,0.3
ENSG00000259347,-0.3,-0.2,-0.1,-0.2
ENSG00000259351,0.5,0.5,0.6,0.6
ENSG00000259359,-0.1,-0.1,-0.1,-0.2
LINC00927,-0.2,-0.2,-0.1,-0.1
ENSG00000259370,-0.1,-0.2,-0.1,-0.3
ENSG00000259395,,-0.1,-0.1,
CTXND1,0.6,-1.2,-0.5,-2.5
ENSG00000259426,-0.2,-0.2,-0.1,-0.1
ENSG00000259436,,-0.2,-0.2,-0.1
LINC01833,0.1,,,0.3
RYR3-DT,-0.4,0.1,0.1,-0.5
LINC02352,-0.5,-0.5,-0.5,-0.5
MGC15885,0.2,0.1,0.2,0.2
CPEB1-AS1,,,,-0.1
LINC01169,-0.4,-0.3,-0.3,-0.2
ENSG00000259476,0.2,0.2,0.2,0.3
ENSG00000259478,-0.1,-0.1,-0.1,-0.1
ENSG00000259495,0.1,0.4,0.1,0.3
LINC01583,,-0.1,,
LINC00052,0.1,-0.1,,-0.3
ENSG00000259530,0.4,0.1,0.2,0.2
ENSG00000259540,0.2,0.2,0.3,0.1
BLID,0.4,0.4,0.5,0.5
CERNA1,-1.5,-1.1,-1.5,-1.2
TYRO3P,,-0.1,,-0.1
ENSG00000259582,-0.1,-0.1,-0.1,
ST20-AS1,0.9,0.1,0.7,0.3
ENSG00000259644,0.2,0.1,0.2,0.1
ENSG00000259650,-0.7,-0.6,-0.7,-0.6
LINC02254,0.1,0.1,,
LINGO1-AS1,0.2,,,-0.1
IQCH-AS1,0.3,0.3,0.4,
LINC01220,,,-0.2,
ENSG00000259697,-0.2,-0.1,-0.2,-0.1
ENSG00000259700,0.4,0.2,0.2,0.1
ENSG00000259705,0.3,1.0,0.5,
LINC01581,,,0.2,
ENSG00000259727,-0.1,-0.2,-0.1,-0.1
LINC00933,,0.2,0.2,0.2
ENSG00000259732,,0.1,0.1,
ENSG00000259768,0.3,0.5,0.5,0.1
ENSG00000259775,-0.2,-0.1,-0.3,-0.1
ENSG00000259776,0.2,0.3,0.4,0.2
LINC01922,0.3,0.3,0.2,0.3
LINC02109,0.1,0.1,0.2,0.2
ENSG00000259788,,0.1,0.1,
ENSG00000259789,0.2,0.2,0.2,
ENSG00000259793,-0.6,-0.5,-0.5,-0.4
ENSG00000259802,-0.1,0.2,0.2,0.2
SLC22A31,-0.5,-0.4,-0.5,-0.1
ENSG00000259804,,-0.1,,
ENSG00000259807,0.2,-0.1,0.1,
ENSG00000259814,0.2,0.2,0.3,0.2
ENSG00000259820,0.1,,,
LYPD8,-0.5,-0.7,-0.5,-0.7
ENSG00000259826,-0.2,-0.2,-0.1,-0.1
LINC00567,,,,0.1
LINC01904,,-0.1,,-0.1
LINC01566,,0.2,0.1,0.1
LINC02126,0.2,0.1,0.3,0.2
SH3RF3-AS1,-0.2,-0.1,,-0.4
ENSG00000259865,0.8,0.4,1.0,0.9
ENSG00000259868,0.3,0.2,0.3,0.1
ENSG00000259870,0.1,0.1,0.1,0.2
ENSG00000259877,-0.2,-0.3,-0.1,0.6
ENSG00000259889,0.2,0.2,0.3,0.2
PWRN1,,,0.1,
ENSG00000259906,0.1,,0.1,
ENSG00000259907,,,-0.1,-0.1
ENSG00000259915,0.1,0.2,0.2,0.1
ENSG00000259940,,-0.2,-0.2,0.2
ENSG00000259941,,1.0,0.2,0.6
ENSG00000259943,-0.5,-0.2,-0.1,0.4
ENSG00000259946,-0.1,-0.5,-0.2,
ENSG00000259952,,,0.1,0.2
ENSG00000259953,2.1,0.9,1.6,1.4
IL21R-AS1,-0.3,-0.2,-0.1,-0.1
RBM15B,,0.1,0.3,0.9
ENSG00000259959,-0.5,-0.6,-0.5,0.4
THSD4-AS1,-0.1,-0.2,-0.2,-0.2
ENSG00000259968,,,,-0.1
ENSG00000259969,-0.7,-1.7,-1.7,-0.9
ENSG00000259972,-0.1,-0.2,-0.1,0.2
ENSG00000259981,-0.1,-0.2,-0.2,-0.2
ENSG00000259985,0.8,,0.2,0.2
ENSG00000259994,-1.1,-1.3,-1.4,-0.5
ENSG00000259998,,,,0.2
ENSG00000260008,,0.1,,
ENSG00000260011,-0.6,-0.4,-0.3,0.1
ENSG00000260018,-0.1,0.4,0.5,-0.4
LINC01992,0.3,0.1,0.3,0.2
CRIM1-DT,-0.9,-2.1,-1.4,-2.3
LINC02189,,,0.1,
HOXB7,0.2,-0.2,,
NORAD,,-0.4,-0.3,-0.4
LCMT1-AS2,0.1,,0.2,-0.1
ENSG00000260042,0.1,,,-0.1
ENSG00000260046,-0.1,-0.2,,0.1
ENSG00000260059,0.3,0.1,0.3,0.3
ENSG00000260060,-0.4,-0.3,-0.4,-0.2
ENSG00000260063,0.3,0.4,0.3,0.6
ENSG00000260064,,-0.1,,
ENSG00000260066,0.1,,0.1,0.1
ENSG00000260070,-0.2,-0.3,0.3,-0.4
ENSG00000260081,-0.2,,0.1,0.2
DDX59-AS1,-0.4,0.6,,-0.7
ENSG00000260090,,0.2,0.2,
ENSG00000260093,0.1,0.2,0.2,
LINC00564,,0.1,0.1,
ENSG00000260095,-0.1,0.5,0.2,0.4
ENSG00000260100,0.1,0.1,0.1,0.1
ENSG00000260101,,-0.5,0.2,-0.1
AOC4P,-0.4,-0.3,-0.3,-0.2
ENSG00000260118,1.9,0.3,0.6,0.7
LINC00556,0.2,0.2,0.3,0.2
